tool_id,tool_status,merge_key,start_time,end_time
TOOL_001,Scheduled Downtime; Preventive Maintenance; Bi-Weekly PM,1,2024-04-01 00:00:00,2024-04-01 04:00:00
TOOL_001,Scheduled Downtime; User Maintenance Delay;,2,2024-04-01 04:00:00,2024-04-01 06:00:00
TOOL_001,Scheduled Downtime; Preventive Maintenance; Bi-Weekly PM,3,2024-04-01 06:00:00,2024-04-01 08:00:00
TOOL_001,Productive; Engineering Runs; Post Maintenance Qual,4,2024-04-01 08:00:00,2024-04-01 10:00:00
TOOL_001,Productive; Regular Production,5,2024-04-01 10:00:00,2024-04-01 13:00:00
TOOL_001,Productive; Regular Production,6,2024-04-01 13:00:00,2024-04-01 15:00:00
TOOL_001,Productive; Regular Production,7,2024-04-01 15:00:00,2024-04-01 17:00:00
TOOL_001,Productive; Regular Production,8,2024-04-01 17:00:00,2024-04-01 19:00:00
TOOL_001,Standby; No Product,9,2024-04-01 19:00:00,2024-04-01 21:00:00
TOOL_001,Productive; Regular Production,10,2024-04-01 21:00:00,2024-04-01 23:00:00
TOOL_001,Productive; Regular Production,11,2024-04-01 23:00:00,2024-04-02 01:00:00
TOOL_001,Productive; Regular Production,12,2024-04-02 01:00:00,2024-04-02 03:00:00
TOOL_001,Productive; Regular Production,13,2024-04-02 03:00:00,2024-04-02 06:00:00
TOOL_001,Productive; Regular Production,14,2024-04-02 06:00:00,2024-04-02 08:00:00
TOOL_001,Productive; Regular Production,15,2024-04-02 08:00:00,2024-04-02 11:00:00
TOOL_001,Productive; Regular Production,16,2024-04-02 11:00:00,2024-04-02 14:00:00
TOOL_001,Productive; Regular Production,17,2024-04-02 14:00:00,2024-04-02 17:00:00
TOOL_001,Productive; Regular Production,18,2024-04-02 17:00:00,2024-04-02 19:00:00
TOOL_001,Productive; Regular Production,19,2024-04-02 19:00:00,2024-04-02 21:00:00
TOOL_001,Productive; Regular Production,20,2024-04-02 21:00:00,2024-04-03 00:00:00
TOOL_001,Productive; Regular Production,21,2024-04-03 00:00:00,2024-04-03 03:00:00
TOOL_001,Productive; Regular Production,22,2024-04-03 03:00:00,2024-04-03 06:00:00
TOOL_001,Productive; Regular Production,23,2024-04-03 06:00:00,2024-04-03 08:00:00
TOOL_001,Productive; Regular Production,24,2024-04-03 08:00:00,2024-04-03 10:00:00
TOOL_001,Productive; Regular Production,25,2024-04-03 10:00:00,2024-04-03 13:00:00
TOOL_001,Productive; Regular Production,26,2024-04-03 13:00:00,2024-04-03 15:00:00
TOOL_001,Productive; Regular Production,27,2024-04-03 15:00:00,2024-04-03 18:00:00
TOOL_001,Productive; Regular Production,28,2024-04-03 18:00:00,2024-04-03 21:00:00
TOOL_001,Productive; Regular Production,29,2024-04-03 21:00:00,2024-04-03 23:00:00
TOOL_001,Productive; Regular Production,30,2024-04-03 23:00:00,2024-04-04 02:00:00
TOOL_001,Unscheduled Downtime; User Maintenance Delay,31,2024-04-04 02:00:00,2024-04-04 05:00:00
TOOL_001,Unscheduled Downtime; Repair; Repair - Repair,32,2024-04-04 05:00:00,2024-04-04 09:00:00
TOOL_001,Productive; Engineering Runs; Post Maintenance Qual,33,2024-04-04 09:00:00,2024-04-04 11:00:00
TOOL_001,Productive; Regular Production,34,2024-04-04 11:00:00,2024-04-04 13:00:00
TOOL_001,Productive; Regular Production,35,2024-04-04 13:00:00,2024-04-04 15:00:00
TOOL_001,Productive; Regular Production,36,2024-04-04 15:00:00,2024-04-04 17:00:00
TOOL_001,Productive; Regular Production,37,2024-04-04 17:00:00,2024-04-04 19:00:00
TOOL_001,Productive; Regular Production,38,2024-04-04 19:00:00,2024-04-04 22:00:00
TOOL_001,Productive; Regular Production,39,2024-04-04 22:00:00,2024-04-05 00:00:00
TOOL_001,Productive; Regular Production,40,2024-04-05 00:00:00,2024-04-05 02:00:00
TOOL_001,Productive; Regular Production,41,2024-04-05 02:00:00,2024-04-05 04:00:00
TOOL_001,Productive; Regular Production,42,2024-04-05 04:00:00,2024-04-05 06:00:00
TOOL_001,Productive; Regular Production,43,2024-04-05 06:00:00,2024-04-05 09:00:00
